,timestamp,model,example_length,target,prediction,correct
0,141806,BOW,4,2,3,0
1,141806,BOW,21,3,3,1
2,141806,BOW,23,4,4,1
3,141806,BOW,26,2,3,0
4,141806,BOW,9,4,4,1
5,141806,BOW,20,3,1,0
6,141806,BOW,22,3,2,0
7,141806,BOW,7,3,3,1
8,141806,BOW,14,3,3,1
9,141806,BOW,15,4,3,0
10,141806,BOW,13,3,3,1
11,141806,BOW,24,3,3,1
12,141806,BOW,10,4,1,0
13,141806,BOW,12,2,1,0
14,141806,BOW,24,3,1,0
15,141806,BOW,6,2,1,0
16,141806,BOW,8,4,4,1
17,141806,BOW,17,3,1,0
18,141806,BOW,11,4,3,0
19,141806,BOW,9,4,4,1
20,141806,BOW,37,4,4,1
21,141806,BOW,16,2,2,1
22,141806,BOW,23,3,3,1
23,141806,BOW,16,3,1,0
24,141806,BOW,9,3,2,0
25,141806,BOW,14,3,1,0
26,141806,BOW,19,3,2,0
27,141806,BOW,23,1,1,1
28,141806,BOW,22,3,1,0
29,141806,BOW,13,4,1,0
30,141806,BOW,20,4,1,0
31,141806,BOW,6,2,3,0
32,141806,BOW,29,3,1,0
33,141806,BOW,33,3,1,0
34,141806,BOW,17,1,1,1
35,141806,BOW,18,3,1,0
36,141806,BOW,13,3,3,1
37,141806,BOW,42,3,3,1
38,141806,BOW,22,1,2,0
39,141806,BOW,14,2,1,0
40,141806,BOW,20,4,1,0
41,141806,BOW,22,0,2,0
42,141806,BOW,14,4,3,0
43,141806,BOW,16,4,3,0
44,141806,BOW,18,3,3,1
45,141806,BOW,29,2,1,0
46,141806,BOW,13,4,4,1
47,141806,BOW,24,3,4,0
48,141806,BOW,8,4,1,0
49,141806,BOW,38,3,1,0
50,141806,BOW,9,3,1,0
51,141806,BOW,13,3,3,1
52,141806,BOW,20,3,2,0
53,141806,BOW,11,4,4,1
54,141806,BOW,22,3,3,1
55,141806,BOW,24,3,1,0
56,141806,BOW,21,3,1,0
57,141806,BOW,15,2,4,0
58,141806,BOW,12,3,4,0
59,141806,BOW,14,3,3,1
60,141806,BOW,23,2,4,0
61,141806,BOW,20,3,3,1
62,141806,BOW,12,3,1,0
63,141806,BOW,25,2,3,0
64,141806,BOW,23,1,2,0
65,141806,BOW,25,3,3,1
66,141806,BOW,7,4,4,1
67,141806,BOW,26,4,3,0
68,141806,BOW,19,4,3,0
69,141806,BOW,20,4,3,0
70,141806,BOW,24,2,4,0
71,141806,BOW,4,4,4,1
72,141806,BOW,8,4,1,0
73,141806,BOW,23,4,1,0
74,141806,BOW,11,3,0,0
75,141806,BOW,22,1,2,0
76,141806,BOW,24,4,4,1
77,141806,BOW,27,3,4,0
78,141806,BOW,24,3,2,0
79,141806,BOW,17,2,3,0
80,141806,BOW,19,3,1,0
81,141806,BOW,15,4,1,0
82,141806,BOW,19,3,3,1
83,141806,BOW,31,3,2,0
84,141806,BOW,23,4,3,0
85,141806,BOW,20,4,4,1
86,141806,BOW,40,4,3,0
87,141806,BOW,9,4,3,0
88,141806,BOW,37,3,3,1
89,141806,BOW,21,3,1,0
90,141806,BOW,34,1,2,0
91,141806,BOW,16,3,1,0
92,141806,BOW,22,0,1,0
93,141806,BOW,18,3,1,0
94,141806,BOW,22,3,1,0
95,141806,BOW,7,4,2,0
96,141806,BOW,24,2,1,0
97,141806,BOW,14,4,1,0
98,141806,BOW,13,3,1,0
99,141806,BOW,26,4,3,0
100,141806,BOW,35,3,1,0
101,141806,BOW,24,3,0,0
102,141806,BOW,18,4,1,0
103,141806,BOW,14,3,1,0
104,141806,BOW,27,3,1,0
105,141806,BOW,22,4,3,0
106,141806,BOW,33,3,3,1
107,141806,BOW,11,4,4,1
108,141806,BOW,36,3,1,0
109,141806,BOW,10,3,4,0
110,141806,BOW,29,2,1,0
111,141806,BOW,15,2,4,0
112,141806,BOW,22,4,3,0
113,141806,BOW,35,3,4,0
114,141806,BOW,6,2,2,1
115,141806,BOW,25,4,2,0
116,141806,BOW,10,3,4,0
117,141806,BOW,26,1,3,0
118,141806,BOW,15,3,2,0
119,141806,BOW,28,2,3,0
120,141806,BOW,40,3,4,0
