timestamp,model,example_length,target,prediction,correct
142634,BOW,4,2,3,0
142634,BOW,21,3,3,1
142634,BOW,23,4,4,1
142634,BOW,26,2,3,0
142634,BOW,9,4,4,1
142634,BOW,20,3,1,0
142634,BOW,22,3,2,0
142634,BOW,7,3,3,1
142634,BOW,14,3,3,1
142634,BOW,15,4,3,0
142634,BOW,13,3,3,1
142634,BOW,24,3,3,1
142634,BOW,10,4,1,0
142634,BOW,12,2,1,0
142634,BOW,24,3,1,0
142634,BOW,6,2,1,0
142634,BOW,8,4,4,1
142634,BOW,17,3,1,0
142634,BOW,11,4,3,0
142634,BOW,9,4,4,1
142634,BOW,37,4,4,1
142634,BOW,16,2,2,1
142634,BOW,23,3,3,1
142634,BOW,16,3,1,0
142634,BOW,9,3,2,0
142634,BOW,14,3,1,0
142634,BOW,19,3,2,0
142634,BOW,23,1,1,1
142634,BOW,22,3,1,0
142634,BOW,13,4,1,0
142634,BOW,20,4,1,0
142634,BOW,6,2,3,0
142634,BOW,29,3,1,0
142634,BOW,33,3,1,0
142634,BOW,17,1,1,1
142634,BOW,18,3,1,0
142634,BOW,13,3,3,1
142634,BOW,42,3,3,1
142634,BOW,22,1,2,0
142634,BOW,14,2,1,0
142634,BOW,20,4,1,0
142634,BOW,22,0,2,0
142634,BOW,14,4,3,0
142634,BOW,16,4,3,0
142634,BOW,18,3,3,1
142634,BOW,29,2,1,0
142634,BOW,13,4,4,1
142634,BOW,24,3,4,0
142634,BOW,8,4,1,0
142634,BOW,38,3,1,0
142634,BOW,9,3,1,0
142634,BOW,13,3,3,1
142634,BOW,20,3,2,0
142634,BOW,11,4,4,1
142634,BOW,22,3,3,1
142634,BOW,24,3,1,0
142634,BOW,21,3,1,0
142634,BOW,15,2,4,0
142634,BOW,12,3,4,0
142634,BOW,14,3,3,1
142634,BOW,23,2,4,0
142634,BOW,20,3,3,1
142634,BOW,12,3,1,0
142634,BOW,25,2,3,0
142634,BOW,23,1,2,0
142634,BOW,25,3,3,1
142634,BOW,7,4,4,1
