timestamp,model,example_length,target,prediction,correct
143735,CBOW,4,2,2,1
143735,CBOW,21,3,3,1
143735,CBOW,23,4,3,0
143735,CBOW,26,2,3,0
143735,CBOW,9,4,3,0
143735,CBOW,20,3,2,0
143735,CBOW,22,3,2,0
143735,CBOW,7,3,4,0
143735,CBOW,14,3,4,0
143735,CBOW,15,4,3,0
143735,CBOW,13,3,3,1
143735,CBOW,24,3,3,1
143735,CBOW,10,4,4,1
143735,CBOW,12,2,1,0
143735,CBOW,24,3,1,0
143735,CBOW,6,2,0,0
143735,CBOW,8,4,4,1
143735,CBOW,17,3,3,1
143735,CBOW,11,4,3,0
143735,CBOW,9,4,4,1
143735,CBOW,37,4,3,0
143735,CBOW,16,2,3,0
143735,CBOW,23,3,2,0
143735,CBOW,16,3,1,0
143735,CBOW,9,3,2,0
143735,CBOW,14,3,3,1
143735,CBOW,19,3,1,0
143735,CBOW,23,1,3,0
143735,CBOW,22,3,0,0
143735,CBOW,13,4,0,0
143735,CBOW,20,4,3,0
143735,CBOW,6,2,3,0
143735,CBOW,29,3,1,0
143735,CBOW,33,3,1,0
143735,CBOW,17,1,3,0
143735,CBOW,18,3,3,1
143735,CBOW,13,3,3,1
143735,CBOW,42,3,3,1
143735,CBOW,22,1,3,0
143735,CBOW,14,2,2,1
143735,CBOW,20,4,2,0
143735,CBOW,22,0,1,0
143735,CBOW,14,4,3,0
143735,CBOW,16,4,4,1
143735,CBOW,18,3,2,0
143735,CBOW,29,2,2,1
143735,CBOW,13,4,3,0
143735,CBOW,24,3,4,0
143735,CBOW,8,4,2,0
143735,CBOW,38,3,0,0
143735,CBOW,9,3,2,0
143735,CBOW,13,3,3,1
143735,CBOW,20,3,2,0
143735,CBOW,11,4,3,0
143735,CBOW,22,3,3,1
143735,CBOW,24,3,2,0
143735,CBOW,21,3,3,1
143735,CBOW,15,2,3,0
143735,CBOW,12,3,4,0
143735,CBOW,14,3,1,0
143735,CBOW,23,2,2,1
143735,CBOW,20,3,3,1
143735,CBOW,12,3,3,1
143735,CBOW,25,2,3,0
143735,CBOW,23,1,2,0
143735,CBOW,25,3,3,1
143735,CBOW,7,4,4,1
143735,CBOW,26,4,3,0
143735,CBOW,19,4,3,0
143735,CBOW,20,4,4,1
143735,CBOW,24,2,3,0
143735,CBOW,4,4,4,1
143735,CBOW,8,4,3,0
143735,CBOW,23,4,1,0
143735,CBOW,11,3,3,1
143735,CBOW,22,1,2,0
143735,CBOW,24,4,4,1
143735,CBOW,27,3,4,0
143735,CBOW,24,3,3,1
143735,CBOW,17,2,3,0
143735,CBOW,19,3,1,0
143735,CBOW,15,4,3,0
143735,CBOW,19,3,3,1
143735,CBOW,31,3,1,0
143735,CBOW,23,4,3,0
143735,CBOW,20,4,0,0
143735,CBOW,40,4,3,0
143735,CBOW,9,4,3,0
143735,CBOW,37,3,3,1
143735,CBOW,21,3,2,0
143735,CBOW,34,1,3,0
143735,CBOW,16,3,0,0
143735,CBOW,22,0,0,1
143735,CBOW,18,3,0,0
143735,CBOW,22,3,3,1
143735,CBOW,7,4,4,1
143735,CBOW,24,2,1,0
143735,CBOW,14,4,0,0
143735,CBOW,13,3,3,1
143735,CBOW,26,4,4,1
143735,CBOW,35,3,3,1
143735,CBOW,24,3,3,1
143735,CBOW,18,4,0,0
143735,CBOW,14,3,1,0
143735,CBOW,27,3,0,0
143735,CBOW,22,4,3,0
143735,CBOW,33,3,3,1
143735,CBOW,11,4,3,0
143735,CBOW,36,3,0,0
143735,CBOW,10,3,3,1
143735,CBOW,29,2,2,1
143735,CBOW,15,2,3,0
143735,CBOW,22,4,1,0
143735,CBOW,35,3,4,0
143735,CBOW,6,2,2,1
143735,CBOW,25,4,3,0
143735,CBOW,10,3,4,0
143735,CBOW,26,1,1,1
143735,CBOW,15,3,2,0
143735,CBOW,28,2,4,0
143735,CBOW,40,3,3,1
143735,CBOW,24,4,3,0
143735,CBOW,18,4,4,1
143735,CBOW,26,4,1,0
143735,CBOW,6,2,2,1
143735,CBOW,21,3,3,1
143735,CBOW,19,3,3,1
143735,CBOW,34,4,3,0
143735,CBOW,15,3,3,1
143735,CBOW,19,3,0,0
143735,CBOW,12,1,2,0
143735,CBOW,7,4,3,0
143735,CBOW,9,4,3,0
143735,CBOW,9,3,2,0
143735,CBOW,16,4,3,0
143735,CBOW,10,3,4,0
143735,CBOW,17,4,1,0
143735,CBOW,27,3,0,0
143735,CBOW,24,3,3,1
143735,CBOW,19,4,3,0
143735,CBOW,31,3,3,1
143735,CBOW,10,1,2,0
143735,CBOW,29,3,3,1
143735,CBOW,34,3,3,1
143735,CBOW,17,3,2,0
143735,CBOW,15,3,3,1
143735,CBOW,21,4,3,0
143735,CBOW,32,4,3,0
143735,CBOW,20,3,2,0
143735,CBOW,16,3,3,1
143735,CBOW,18,3,2,0
143735,CBOW,25,3,3,1
143735,CBOW,7,3,2,0
143735,CBOW,28,1,3,0
143735,CBOW,33,4,3,0
143735,CBOW,20,4,4,1
143735,CBOW,18,4,3,0
143735,CBOW,17,1,1,1
143735,CBOW,19,4,4,1
143735,CBOW,56,3,2,0
143735,CBOW,20,3,3,1
143735,CBOW,5,3,3,1
143735,CBOW,41,3,3,1
143735,CBOW,39,3,3,1
143735,CBOW,13,4,4,1
143735,CBOW,19,3,3,1
143735,CBOW,28,2,3,0
143735,CBOW,23,3,3,1
143735,CBOW,17,3,3,1
143735,CBOW,17,3,4,0
143735,CBOW,15,3,3,1
143735,CBOW,23,2,4,0
143735,CBOW,19,4,1,0
143735,CBOW,8,4,3,0
143735,CBOW,12,4,3,0
143735,CBOW,14,3,3,1
143735,CBOW,27,4,4,1
143735,CBOW,34,2,1,0
143735,CBOW,13,3,3,1
143735,CBOW,14,4,4,1
143735,CBOW,5,4,4,1
143735,CBOW,15,0,3,0
143735,CBOW,16,4,3,0
143735,CBOW,10,3,4,0
143735,CBOW,27,3,3,1
143735,CBOW,19,3,1,0
143735,CBOW,17,2,1,0
143735,CBOW,31,3,3,1
143735,CBOW,29,4,3,0
143735,CBOW,6,4,3,0
143735,CBOW,15,4,3,0
143735,CBOW,31,3,3,1
143735,CBOW,7,4,3,0
143735,CBOW,22,3,4,0
143735,CBOW,16,4,3,0
143735,CBOW,22,3,1,0
143735,CBOW,8,3,3,1
143735,CBOW,9,4,4,1
143735,CBOW,16,3,3,1
143735,CBOW,15,3,3,1
143735,CBOW,23,4,2,0
143735,CBOW,16,3,3,1
143735,CBOW,30,2,1,0
143735,CBOW,26,3,3,1
143735,CBOW,24,3,0,0
143735,CBOW,23,3,2,0
143735,CBOW,27,4,3,0
143735,CBOW,19,3,1,0
143735,CBOW,15,3,1,0
143735,CBOW,9,3,4,0
143735,CBOW,13,3,2,0
143735,CBOW,15,3,2,0
143735,CBOW,39,2,3,0
143735,CBOW,22,3,2,0
143735,CBOW,22,3,3,1
143735,CBOW,17,2,1,0
143735,CBOW,9,4,0,0
143735,CBOW,17,3,4,0
143735,CBOW,35,4,3,0
143735,CBOW,12,3,3,1
143735,CBOW,29,4,3,0
143735,CBOW,9,4,4,1
143735,CBOW,14,3,3,1
143735,CBOW,27,2,3,0
143735,CBOW,9,4,4,1
143735,CBOW,28,3,2,0
143735,CBOW,17,2,3,0
143735,CBOW,4,1,2,0
143735,CBOW,33,3,3,1
143735,CBOW,20,4,3,0
143735,CBOW,8,4,3,0
143735,CBOW,28,3,3,1
143735,CBOW,12,3,3,1
143735,CBOW,38,4,3,0
143735,CBOW,5,4,3,0
143735,CBOW,15,1,1,1
143735,CBOW,15,4,3,0
143735,CBOW,13,4,3,0
143735,CBOW,27,2,3,0
143735,CBOW,8,4,3,0
143735,CBOW,15,4,3,0
143735,CBOW,25,3,3,1
143735,CBOW,31,4,3,0
143735,CBOW,24,2,3,0
143735,CBOW,12,4,3,0
143735,CBOW,43,3,2,0
143735,CBOW,7,1,2,0
143735,CBOW,8,2,3,0
143735,CBOW,14,4,1,0
143735,CBOW,32,3,0,0
143735,CBOW,17,3,3,1
143735,CBOW,8,2,2,1
143735,CBOW,14,3,4,0
143735,CBOW,11,4,4,1
143735,CBOW,32,2,3,0
143735,CBOW,21,3,3,1
143735,CBOW,33,3,4,0
143735,CBOW,25,4,4,1
143735,CBOW,21,2,2,1
143735,CBOW,13,4,4,1
143735,CBOW,12,3,3,1
143735,CBOW,29,2,3,0
143735,CBOW,17,2,2,1
