timestamp,model,example_length,target,prediction,correct
145149,DeepCBOW,4,2,2,1
145149,DeepCBOW,21,3,3,1
145149,DeepCBOW,23,4,1,0
145149,DeepCBOW,26,2,2,1
145149,DeepCBOW,9,4,3,0
145149,DeepCBOW,20,3,1,0
145149,DeepCBOW,22,3,3,1
145149,DeepCBOW,7,3,3,1
145149,DeepCBOW,14,3,4,0
145149,DeepCBOW,15,4,4,1
145149,DeepCBOW,13,3,3,1
145149,DeepCBOW,24,3,3,1
145149,DeepCBOW,10,4,4,1
145149,DeepCBOW,12,2,1,0
145149,DeepCBOW,24,3,3,1
145149,DeepCBOW,6,2,2,1
145149,DeepCBOW,8,4,4,1
145149,DeepCBOW,17,3,3,1
145149,DeepCBOW,11,4,3,0
145149,DeepCBOW,9,4,4,1
145149,DeepCBOW,37,4,4,1
145149,DeepCBOW,16,2,3,0
145149,DeepCBOW,23,3,3,1
145149,DeepCBOW,16,3,1,0
145149,DeepCBOW,9,3,2,0
145149,DeepCBOW,14,3,3,1
145149,DeepCBOW,19,3,2,0
145149,DeepCBOW,23,1,1,1
145149,DeepCBOW,22,3,0,0
145149,DeepCBOW,13,4,4,1
145149,DeepCBOW,20,4,4,1
145149,DeepCBOW,6,2,3,0
145149,DeepCBOW,29,3,2,0
145149,DeepCBOW,33,3,3,1
145149,DeepCBOW,17,1,3,0
145149,DeepCBOW,18,3,4,0
145149,DeepCBOW,13,3,3,1
145149,DeepCBOW,42,3,3,1
145149,DeepCBOW,22,1,2,0
145149,DeepCBOW,14,2,3,0
145149,DeepCBOW,20,4,2,0
145149,DeepCBOW,22,0,1,0
145149,DeepCBOW,14,4,3,0
145149,DeepCBOW,16,4,1,0
145149,DeepCBOW,18,3,3,1
145149,DeepCBOW,29,2,2,1
145149,DeepCBOW,13,4,3,0
145149,DeepCBOW,24,3,4,0
145149,DeepCBOW,8,4,3,0
145149,DeepCBOW,38,3,1,0
145149,DeepCBOW,9,3,3,1
145149,DeepCBOW,13,3,4,0
145149,DeepCBOW,20,3,1,0
145149,DeepCBOW,11,4,3,0
145149,DeepCBOW,22,3,3,1
145149,DeepCBOW,24,3,3,1
145149,DeepCBOW,21,3,4,0
145149,DeepCBOW,15,2,3,0
145149,DeepCBOW,12,3,4,0
145149,DeepCBOW,14,3,1,0
145149,DeepCBOW,23,2,1,0
145149,DeepCBOW,20,3,4,0
145149,DeepCBOW,12,3,3,1
145149,DeepCBOW,25,2,3,0
145149,DeepCBOW,23,1,2,0
145149,DeepCBOW,25,3,1,0
145149,DeepCBOW,7,4,4,1
145149,DeepCBOW,26,4,4,1
145149,DeepCBOW,19,4,4,1
145149,DeepCBOW,20,4,4,1
145149,DeepCBOW,24,2,3,0
145149,DeepCBOW,4,4,3,0
145149,DeepCBOW,8,4,3,0
145149,DeepCBOW,23,4,1,0
145149,DeepCBOW,11,3,3,1
145149,DeepCBOW,22,1,2,0
145149,DeepCBOW,24,4,1,0
145149,DeepCBOW,27,3,3,1
145149,DeepCBOW,24,3,4,0
145149,DeepCBOW,17,2,1,0
145149,DeepCBOW,19,3,3,1
145149,DeepCBOW,15,4,4,1
145149,DeepCBOW,19,3,3,1
145149,DeepCBOW,31,3,3,1
145149,DeepCBOW,23,4,4,1
145149,DeepCBOW,20,4,1,0
145149,DeepCBOW,40,4,3,0
145149,DeepCBOW,9,4,3,0
145149,DeepCBOW,37,3,3,1
145149,DeepCBOW,21,3,3,1
145149,DeepCBOW,34,1,3,0
145149,DeepCBOW,16,3,4,0
145149,DeepCBOW,22,0,1,0
145149,DeepCBOW,18,3,1,0
145149,DeepCBOW,22,3,0,0
145149,DeepCBOW,7,4,4,1
145149,DeepCBOW,24,2,2,1
