timestamp,model,example_length,target,prediction,correct
001920,TreeLSTMClassifier,4,2,3,0
001920,TreeLSTMClassifier,21,3,3,1
001920,TreeLSTMClassifier,23,4,3,0
001920,TreeLSTMClassifier,26,2,3,0
001920,TreeLSTMClassifier,9,4,4,1
001920,TreeLSTMClassifier,20,3,1,0
001920,TreeLSTMClassifier,22,3,3,1
001920,TreeLSTMClassifier,7,3,1,0
001920,TreeLSTMClassifier,14,3,4,0
001920,TreeLSTMClassifier,15,4,4,1
001920,TreeLSTMClassifier,13,3,4,0
001920,TreeLSTMClassifier,24,3,2,0
001920,TreeLSTMClassifier,10,4,4,1
001920,TreeLSTMClassifier,12,2,1,0
001920,TreeLSTMClassifier,24,3,3,1
001920,TreeLSTMClassifier,6,2,2,1
001920,TreeLSTMClassifier,8,4,4,1
001920,TreeLSTMClassifier,17,3,4,0
001920,TreeLSTMClassifier,11,4,4,1
001920,TreeLSTMClassifier,9,4,4,1
001920,TreeLSTMClassifier,37,4,4,1
001920,TreeLSTMClassifier,16,2,4,0
001920,TreeLSTMClassifier,23,3,3,1
001920,TreeLSTMClassifier,16,3,3,1
001920,TreeLSTMClassifier,9,3,3,1
001920,TreeLSTMClassifier,14,3,3,1
001920,TreeLSTMClassifier,19,3,3,1
001920,TreeLSTMClassifier,23,1,3,0
001920,TreeLSTMClassifier,22,3,3,1
001920,TreeLSTMClassifier,13,4,2,0
001920,TreeLSTMClassifier,20,4,4,1
001920,TreeLSTMClassifier,6,2,2,1
001920,TreeLSTMClassifier,29,3,1,0
001920,TreeLSTMClassifier,33,3,3,1
001920,TreeLSTMClassifier,17,1,1,1
001920,TreeLSTMClassifier,18,3,3,1
001920,TreeLSTMClassifier,13,3,2,0
001920,TreeLSTMClassifier,42,3,4,0
001920,TreeLSTMClassifier,22,1,1,1
001920,TreeLSTMClassifier,14,2,1,0
001920,TreeLSTMClassifier,20,4,3,0
001920,TreeLSTMClassifier,22,0,1,0
001920,TreeLSTMClassifier,14,4,3,0
001920,TreeLSTMClassifier,16,4,4,1
001920,TreeLSTMClassifier,18,3,4,0
001920,TreeLSTMClassifier,29,2,1,0
001920,TreeLSTMClassifier,13,4,4,1
001920,TreeLSTMClassifier,24,3,4,0
001920,TreeLSTMClassifier,8,4,4,1
001920,TreeLSTMClassifier,38,3,3,1
001920,TreeLSTMClassifier,9,3,3,1
001920,TreeLSTMClassifier,13,3,3,1
001920,TreeLSTMClassifier,20,3,3,1
001920,TreeLSTMClassifier,11,4,4,1
001920,TreeLSTMClassifier,22,3,3,1
001920,TreeLSTMClassifier,24,3,3,1
001920,TreeLSTMClassifier,21,3,3,1
001920,TreeLSTMClassifier,15,2,1,0
001920,TreeLSTMClassifier,12,3,4,0
001920,TreeLSTMClassifier,14,3,3,1
001920,TreeLSTMClassifier,23,2,4,0
001920,TreeLSTMClassifier,20,3,2,0
001920,TreeLSTMClassifier,12,3,4,0
001920,TreeLSTMClassifier,25,2,2,1
001920,TreeLSTMClassifier,23,1,3,0
