timestamp,model,example_length,target,prediction,correct
231539,BinarySubtreeLSTMClassifier,4,2,2,1
231539,BinarySubtreeLSTMClassifier,21,3,3,1
231539,BinarySubtreeLSTMClassifier,23,4,3,0
231539,BinarySubtreeLSTMClassifier,26,2,3,0
231539,BinarySubtreeLSTMClassifier,9,4,3,0
231539,BinarySubtreeLSTMClassifier,20,3,1,0
231539,BinarySubtreeLSTMClassifier,22,3,3,1
231539,BinarySubtreeLSTMClassifier,7,3,1,0
231539,BinarySubtreeLSTMClassifier,14,3,3,1
231539,BinarySubtreeLSTMClassifier,15,4,4,1
231539,BinarySubtreeLSTMClassifier,13,3,4,0
231539,BinarySubtreeLSTMClassifier,24,3,1,0
231539,BinarySubtreeLSTMClassifier,10,4,4,1
231539,BinarySubtreeLSTMClassifier,12,2,3,0
231539,BinarySubtreeLSTMClassifier,24,3,4,0
231539,BinarySubtreeLSTMClassifier,6,2,1,0
231539,BinarySubtreeLSTMClassifier,8,4,4,1
231539,BinarySubtreeLSTMClassifier,17,3,3,1
231539,BinarySubtreeLSTMClassifier,11,4,3,0
231539,BinarySubtreeLSTMClassifier,9,4,4,1
231539,BinarySubtreeLSTMClassifier,37,4,4,1
231539,BinarySubtreeLSTMClassifier,16,2,4,0
231539,BinarySubtreeLSTMClassifier,23,3,3,1
231539,BinarySubtreeLSTMClassifier,16,3,3,1
231539,BinarySubtreeLSTMClassifier,9,3,1,0
231539,BinarySubtreeLSTMClassifier,14,3,3,1
231539,BinarySubtreeLSTMClassifier,19,3,3,1
231539,BinarySubtreeLSTMClassifier,23,1,3,0
231539,BinarySubtreeLSTMClassifier,22,3,3,1
231539,BinarySubtreeLSTMClassifier,13,4,3,0
231539,BinarySubtreeLSTMClassifier,20,4,3,0
231539,BinarySubtreeLSTMClassifier,6,2,1,0
231539,BinarySubtreeLSTMClassifier,29,3,1,0
231539,BinarySubtreeLSTMClassifier,33,3,3,1
231539,BinarySubtreeLSTMClassifier,17,1,1,1
231539,BinarySubtreeLSTMClassifier,18,3,3,1
231539,BinarySubtreeLSTMClassifier,13,3,2,0
231539,BinarySubtreeLSTMClassifier,42,3,3,1
231539,BinarySubtreeLSTMClassifier,22,1,1,1
231539,BinarySubtreeLSTMClassifier,14,2,1,0
231539,BinarySubtreeLSTMClassifier,20,4,3,0
231539,BinarySubtreeLSTMClassifier,22,0,1,0
231539,BinarySubtreeLSTMClassifier,14,4,3,0
231539,BinarySubtreeLSTMClassifier,16,4,4,1
231539,BinarySubtreeLSTMClassifier,18,3,4,0
231539,BinarySubtreeLSTMClassifier,29,2,1,0
231539,BinarySubtreeLSTMClassifier,13,4,4,1
231539,BinarySubtreeLSTMClassifier,24,3,3,1
231539,BinarySubtreeLSTMClassifier,8,4,4,1
231539,BinarySubtreeLSTMClassifier,38,3,1,0
231539,BinarySubtreeLSTMClassifier,9,3,3,1
231539,BinarySubtreeLSTMClassifier,13,3,1,0
231539,BinarySubtreeLSTMClassifier,20,3,3,1
231539,BinarySubtreeLSTMClassifier,11,4,3,0
231539,BinarySubtreeLSTMClassifier,22,3,3,1
231539,BinarySubtreeLSTMClassifier,24,3,3,1
231539,BinarySubtreeLSTMClassifier,21,3,3,1
231539,BinarySubtreeLSTMClassifier,15,2,1,0
231539,BinarySubtreeLSTMClassifier,12,3,4,0
231539,BinarySubtreeLSTMClassifier,14,3,4,0
231539,BinarySubtreeLSTMClassifier,23,2,3,0
231539,BinarySubtreeLSTMClassifier,20,3,3,1
231539,BinarySubtreeLSTMClassifier,12,3,3,1
231539,BinarySubtreeLSTMClassifier,25,2,3,0
231539,BinarySubtreeLSTMClassifier,23,1,3,0
231539,BinarySubtreeLSTMClassifier,25,3,2,0
231539,BinarySubtreeLSTMClassifier,7,4,4,1
231539,BinarySubtreeLSTMClassifier,26,4,4,1
231539,BinarySubtreeLSTMClassifier,19,4,4,1
231539,BinarySubtreeLSTMClassifier,20,4,3,0
231539,BinarySubtreeLSTMClassifier,24,2,3,0
231539,BinarySubtreeLSTMClassifier,4,4,4,1
231539,BinarySubtreeLSTMClassifier,8,4,4,1
231539,BinarySubtreeLSTMClassifier,23,4,1,0
