timestamp,model,example_length,target,prediction,correct
174733,BinaryTreeLSTMClassifier,4,2,3,0
174733,BinaryTreeLSTMClassifier,21,3,3,1
174733,BinaryTreeLSTMClassifier,23,4,3,0
174733,BinaryTreeLSTMClassifier,26,2,3,0
174733,BinaryTreeLSTMClassifier,9,4,4,1
174733,BinaryTreeLSTMClassifier,20,3,1,0
174733,BinaryTreeLSTMClassifier,22,3,3,1
174733,BinaryTreeLSTMClassifier,7,3,2,0
174733,BinaryTreeLSTMClassifier,14,3,3,1
174733,BinaryTreeLSTMClassifier,15,4,4,1
174733,BinaryTreeLSTMClassifier,13,3,3,1
174733,BinaryTreeLSTMClassifier,24,3,3,1
174733,BinaryTreeLSTMClassifier,10,4,4,1
174733,BinaryTreeLSTMClassifier,12,2,2,1
174733,BinaryTreeLSTMClassifier,24,3,3,1
174733,BinaryTreeLSTMClassifier,6,2,2,1
174733,BinaryTreeLSTMClassifier,8,4,4,1
174733,BinaryTreeLSTMClassifier,17,3,3,1
174733,BinaryTreeLSTMClassifier,11,4,4,1
174733,BinaryTreeLSTMClassifier,9,4,4,1
174733,BinaryTreeLSTMClassifier,37,4,4,1
174733,BinaryTreeLSTMClassifier,16,2,4,0
174733,BinaryTreeLSTMClassifier,23,3,3,1
174733,BinaryTreeLSTMClassifier,16,3,3,1
174733,BinaryTreeLSTMClassifier,9,3,3,1
174733,BinaryTreeLSTMClassifier,14,3,3,1
174733,BinaryTreeLSTMClassifier,19,3,3,1
174733,BinaryTreeLSTMClassifier,23,1,2,0
174733,BinaryTreeLSTMClassifier,22,3,2,0
174733,BinaryTreeLSTMClassifier,13,4,0,0
174733,BinaryTreeLSTMClassifier,20,4,4,1
174733,BinaryTreeLSTMClassifier,6,2,3,0
174733,BinaryTreeLSTMClassifier,29,3,1,0
174733,BinaryTreeLSTMClassifier,33,3,3,1
174733,BinaryTreeLSTMClassifier,17,1,1,1
174733,BinaryTreeLSTMClassifier,18,3,3,1
174733,BinaryTreeLSTMClassifier,13,3,2,0
174733,BinaryTreeLSTMClassifier,42,3,3,1
174733,BinaryTreeLSTMClassifier,22,1,1,1
174733,BinaryTreeLSTMClassifier,14,2,1,0
174733,BinaryTreeLSTMClassifier,20,4,3,0
174733,BinaryTreeLSTMClassifier,22,0,1,0
174733,BinaryTreeLSTMClassifier,14,4,3,0
174733,BinaryTreeLSTMClassifier,16,4,4,1
174733,BinaryTreeLSTMClassifier,18,3,3,1
174733,BinaryTreeLSTMClassifier,29,2,1,0
174733,BinaryTreeLSTMClassifier,13,4,4,1
174733,BinaryTreeLSTMClassifier,24,3,4,0
174733,BinaryTreeLSTMClassifier,8,4,4,1
174733,BinaryTreeLSTMClassifier,38,3,3,1
174733,BinaryTreeLSTMClassifier,9,3,3,1
174733,BinaryTreeLSTMClassifier,13,3,3,1
174733,BinaryTreeLSTMClassifier,20,3,1,0
174733,BinaryTreeLSTMClassifier,11,4,4,1
174733,BinaryTreeLSTMClassifier,22,3,3,1
174733,BinaryTreeLSTMClassifier,24,3,3,1
174733,BinaryTreeLSTMClassifier,21,3,3,1
174733,BinaryTreeLSTMClassifier,15,2,1,0
174733,BinaryTreeLSTMClassifier,12,3,4,0
174733,BinaryTreeLSTMClassifier,14,3,3,1
174733,BinaryTreeLSTMClassifier,23,2,4,0
174733,BinaryTreeLSTMClassifier,20,3,2,0
174733,BinaryTreeLSTMClassifier,12,3,4,0
174733,BinaryTreeLSTMClassifier,25,2,2,1
174733,BinaryTreeLSTMClassifier,23,1,3,0
174733,BinaryTreeLSTMClassifier,25,3,3,1
174733,BinaryTreeLSTMClassifier,7,4,4,1
174733,BinaryTreeLSTMClassifier,26,4,4,1
174733,BinaryTreeLSTMClassifier,19,4,4,1
174733,BinaryTreeLSTMClassifier,20,4,3,0
174733,BinaryTreeLSTMClassifier,24,2,1,0
174733,BinaryTreeLSTMClassifier,4,4,3,0
174733,BinaryTreeLSTMClassifier,8,4,4,1
174733,BinaryTreeLSTMClassifier,23,4,3,0
174733,BinaryTreeLSTMClassifier,11,3,3,1
174733,BinaryTreeLSTMClassifier,22,1,2,0
174733,BinaryTreeLSTMClassifier,24,4,3,0
174733,BinaryTreeLSTMClassifier,27,3,4,0
174733,BinaryTreeLSTMClassifier,24,3,3,1
174733,BinaryTreeLSTMClassifier,17,2,3,0
174733,BinaryTreeLSTMClassifier,19,3,3,1
174733,BinaryTreeLSTMClassifier,15,4,4,1
174733,BinaryTreeLSTMClassifier,19,3,3,1
174733,BinaryTreeLSTMClassifier,31,3,4,0
174733,BinaryTreeLSTMClassifier,23,4,3,0
174733,BinaryTreeLSTMClassifier,20,4,3,0
174733,BinaryTreeLSTMClassifier,40,4,3,0
174733,BinaryTreeLSTMClassifier,9,4,3,0
174733,BinaryTreeLSTMClassifier,37,3,3,1
174733,BinaryTreeLSTMClassifier,21,3,2,0
174733,BinaryTreeLSTMClassifier,34,1,1,1
174733,BinaryTreeLSTMClassifier,16,3,3,1
174733,BinaryTreeLSTMClassifier,22,0,1,0
174733,BinaryTreeLSTMClassifier,18,3,1,0
174733,BinaryTreeLSTMClassifier,22,3,3,1
174733,BinaryTreeLSTMClassifier,7,4,4,1
174733,BinaryTreeLSTMClassifier,24,2,1,0
174733,BinaryTreeLSTMClassifier,14,4,4,1
174733,BinaryTreeLSTMClassifier,13,3,1,0
174733,BinaryTreeLSTMClassifier,26,4,3,0
174733,BinaryTreeLSTMClassifier,35,3,3,1
174733,BinaryTreeLSTMClassifier,24,3,3,1
174733,BinaryTreeLSTMClassifier,18,4,1,0
174733,BinaryTreeLSTMClassifier,14,3,3,1
174733,BinaryTreeLSTMClassifier,27,3,2,0
174733,BinaryTreeLSTMClassifier,22,4,1,0
174733,BinaryTreeLSTMClassifier,33,3,3,1
174733,BinaryTreeLSTMClassifier,11,4,3,0
174733,BinaryTreeLSTMClassifier,36,3,3,1
174733,BinaryTreeLSTMClassifier,10,3,4,0
174733,BinaryTreeLSTMClassifier,29,2,3,0
174733,BinaryTreeLSTMClassifier,15,2,3,0
174733,BinaryTreeLSTMClassifier,22,4,3,0
