timestamp,model,example_length,target,prediction,correct
201747,ChildSumTreeLSTMClassifier,4,2,2,1
201747,ChildSumTreeLSTMClassifier,21,3,3,1
201747,ChildSumTreeLSTMClassifier,23,4,3,0
201747,ChildSumTreeLSTMClassifier,26,2,3,0
201747,ChildSumTreeLSTMClassifier,9,4,4,1
201747,ChildSumTreeLSTMClassifier,20,3,1,0
201747,ChildSumTreeLSTMClassifier,22,3,3,1
201747,ChildSumTreeLSTMClassifier,7,3,1,0
201747,ChildSumTreeLSTMClassifier,14,3,3,1
201747,ChildSumTreeLSTMClassifier,15,4,4,1
201747,ChildSumTreeLSTMClassifier,13,3,4,0
201747,ChildSumTreeLSTMClassifier,24,3,1,0
201747,ChildSumTreeLSTMClassifier,10,4,4,1
201747,ChildSumTreeLSTMClassifier,12,2,1,0
201747,ChildSumTreeLSTMClassifier,24,3,3,1
201747,ChildSumTreeLSTMClassifier,6,2,2,1
201747,ChildSumTreeLSTMClassifier,8,4,4,1
201747,ChildSumTreeLSTMClassifier,17,3,3,1
201747,ChildSumTreeLSTMClassifier,11,4,4,1
201747,ChildSumTreeLSTMClassifier,9,4,4,1
201747,ChildSumTreeLSTMClassifier,37,4,4,1
201747,ChildSumTreeLSTMClassifier,16,2,3,0
201747,ChildSumTreeLSTMClassifier,23,3,3,1
201747,ChildSumTreeLSTMClassifier,16,3,3,1
201747,ChildSumTreeLSTMClassifier,9,3,3,1
201747,ChildSumTreeLSTMClassifier,14,3,3,1
201747,ChildSumTreeLSTMClassifier,19,3,3,1
201747,ChildSumTreeLSTMClassifier,23,1,1,1
201747,ChildSumTreeLSTMClassifier,22,3,2,0
201747,ChildSumTreeLSTMClassifier,13,4,0,0
201747,ChildSumTreeLSTMClassifier,20,4,4,1
201747,ChildSumTreeLSTMClassifier,6,2,2,1
201747,ChildSumTreeLSTMClassifier,29,3,1,0
201747,ChildSumTreeLSTMClassifier,33,3,3,1
201747,ChildSumTreeLSTMClassifier,17,1,1,1
201747,ChildSumTreeLSTMClassifier,18,3,3,1
201747,ChildSumTreeLSTMClassifier,13,3,2,0
201747,ChildSumTreeLSTMClassifier,42,3,4,0
201747,ChildSumTreeLSTMClassifier,22,1,1,1
201747,ChildSumTreeLSTMClassifier,14,2,1,0
201747,ChildSumTreeLSTMClassifier,20,4,3,0
201747,ChildSumTreeLSTMClassifier,22,0,1,0
201747,ChildSumTreeLSTMClassifier,14,4,3,0
201747,ChildSumTreeLSTMClassifier,16,4,4,1
201747,ChildSumTreeLSTMClassifier,18,3,3,1
201747,ChildSumTreeLSTMClassifier,29,2,1,0
201747,ChildSumTreeLSTMClassifier,13,4,4,1
201747,ChildSumTreeLSTMClassifier,24,3,4,0
201747,ChildSumTreeLSTMClassifier,8,4,3,0
201747,ChildSumTreeLSTMClassifier,38,3,2,0
201747,ChildSumTreeLSTMClassifier,9,3,3,1
201747,ChildSumTreeLSTMClassifier,13,3,3,1
201747,ChildSumTreeLSTMClassifier,20,3,3,1
201747,ChildSumTreeLSTMClassifier,11,4,3,0
201747,ChildSumTreeLSTMClassifier,22,3,3,1
201747,ChildSumTreeLSTMClassifier,24,3,2,0
201747,ChildSumTreeLSTMClassifier,21,3,3,1
201747,ChildSumTreeLSTMClassifier,15,2,1,0
201747,ChildSumTreeLSTMClassifier,12,3,4,0
201747,ChildSumTreeLSTMClassifier,14,3,2,0
